MINUTES,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
0,0.473,0.502,0.551,0.553,0.524,0.504,0.541,0.481,0.489,0.54,0.49,0.461,0.496,0.51,0.49,0.483,0.473,0.509,0.473,0.467,0.504,0.482,0.513,0.482
15,0.467,0.492,0.542,0.534,0.473,0.502,0.547,0.457,0.46,0.536,0.448,0.475,0.499,0.51,0.478,0.481,0.48,0.486,0.463,0.479,0.487,0.477,0.511,0.498
30,0.468,0.491,0.542,0.532,0.473,0.498,0.548,0.459,0.46,0.532,0.447,0.471,0.497,0.515,0.483,0.487,0.473,0.492,0.464,0.477,0.488,0.482,0.517,0.504
45,0.464,0.493,0.542,0.53,0.471,0.509,0.564,0.462,0.463,0.529,0.444,0.469,0.506,0.517,0.492,0.489,0.523,0.52,0.464,0.48,0.486,0.485,0.533,0.51
60,0.461,0.491,0.539,0.529,0.471,0.511,0.574,0.468,0.468,0.529,0.445,0.469,0.516,0.526,0.499,0.492,0.575,0.535,0.467,0.49,0.491,0.497,0.54,0.521
75,0.459,0.489,0.538,0.53,0.471,0.513,0.583,0.479,0.474,0.53,0.445,0.467,0.528,0.532,0.511,0.488,0.528,0.515,0.472,0.493,0.496,0.513,0.558,0.537
90,0.46,0.488,0.538,0.533,0.477,0.519,0.595,0.492,0.485,0.528,0.447,0.466,0.55,0.55,0.534,0.488,0.531,0.52,0.481,0.505,0.511,0.54,0.589,0.566
105,0.456,0.486,0.537,0.538,0.48,0.523,0.609,0.514,0.5,0.528,0.446,0.462,0.58,0.575,0.565,0.487,0.529,0.518,0.496,0.521,0.527,0.576,0.62,0.592
120,0.459,0.485,0.536,0.543,0.49,0.535,0.638,0.541,0.528,0.527,0.443,0.463,0.602,0.601,0.594,0.486,0.529,0.562,0.52,0.549,0.563,0.602,0.654,0.628
135,0.456,0.485,0.535,0.555,0.505,0.549,0.662,0.564,0.55,0.528,0.446,0.461,0.634,0.657,0.62,0.488,0.528,0.52,0.539,0.574,0.585,0.632,0.678,0.655
150,0.456,0.485,0.537,0.573,0.528,0.571,0.683,0.593,0.568,0.529,0.445,0.463,0.668,0.687,0.691,0.487,0.525,0.516,0.562,0.593,0.607,0.668,0.716,0.692
165,0.455,0.482,0.535,0.59,0.544,0.58,0.716,0.626,0.599,0.528,0.444,0.461,0.701,0.698,0.695,0.485,0.527,0.515,0.587,0.624,0.641,0.704,0.75,0.728
