MINUTES,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
0,9062,9260,9204,10171,10848,11420,9195,9158,8762,8007,8375,9067,9672,9504,9489,9335,9207,9216,8528,8978,10026,9321,9334,9252
15,8772,8948,8980,9918,10680,11080,9006,8906,8439,7774,8109,8813,9325,9246,9189,9043,8967,9029,8301,8748,9710,9114,9044,9027
30,8766,8870,8828,9837,10558,11120,8869,8772,8405,7573,7990,8727,9308,9211,9179,8981,8936,8872,8276,8726,9715,8909,8893,8937
45,8779,8928,8877,10058,10729,11165,8802,8704,8364,7589,8000,8682,9282,9229,9134,9028,8906,8818,8254,8735,9758,8912,8876,8892
60,8701,8871,8796,10083,10844,11413,8832,8729,8452,7620,7947,8655,9238,9141,9230,8958,8879,8851,8361,8860,9788,8822,8829,8872
75,8698,8867,8814,10296,11060,11703,9042,8912,8573,7570,7939,8636,9289,9142,9239,9016,8867,8851,8553,9000,10058,8857,8881,8869
90,8792,8934,8855,10716,11638,12414,9206,9154,8768,7666,8004,8667,9362,9225,9241,9010,8905,8804,8836,9406,10410,8972,9006,8968
105,8790,8920,8828,11048,12078,13017,9612,9374,8958,7640,7998,8636,9390,9277,9356,8960,8871,8802,9213,9885,10965,9069,9031,8994
120,8721,8940,8874,11513,12719,13830,9895,9754,9237,7639,7930,8678,9500,9422,9390,9056,8886,8826,9696,10335,11456,9085,9169,9068
135,8809,8886,8846,12150,13450,14871,10436,10329,9692,7566,7971,8658,9628,9445,9544,8996,8866,8850,10246,11172,12386,9226,9305,9237
150,8770,8905,8883,12900,14467,16188,11136,11151,10264,7595,7962,8686,9834,9666,9703,9015,8884,8867,11397,12544,13800,9466,9434,9520
165,8730,8934,8839,14130,16020,18564,12301,12298,11227,7560,7990,8696,10088,9842,9982,9020,8970,8923,13068,14672,15747,9757,9838,9752
180,8733,8882,8889,16198,18756,21670,13848,13847,12541,7619,7951,8690,10332,10230,10363,9008,8965,8887,15589,17167,18465,10130,10173,10186
195,8768,8889,8886,19098,22135,25609,15685,15606,13986,7597,7985,8698,10680,10376,10532,9068,8888,8946,18477,20480,21971,10310,10117,10102
210,8768,8883,8917,22902,26483,30832,17635,17470,15960,7657,7970,8690,10571,10416,10502,9086,9004,8941,22198,24362,26259,10324,10354,10389
225,8732,8918,8950,28102,32828,38074,20338,20322,18124,7688,8063,8713,10788,10540,10695,9054,9034,8950,26277,29137,30520,10506,10536,10484
240,8772,8821,8912,34981,40074,46125,24174,24106,21416,7654,8066,8681,10928,10551,10919,9111,9080,8985,32272,35652,36502,10678,10818,10706
255,8767,8882,9051,42558,48712,57183,28047,28123,25193,7782,8099,8806,11283,10737,11238,9145,9154,8972,40484,43859,44197,10856,10995,10966
270,8729,8855,9015,52984,58820,70211,32074,31934,28874,7775,8113,8882,11450,10938,11230,9196,9218,9036,48990,52509,52704,11173,11344,11384
285,8745,8990,9122,66863,71478,86108,36605,36672,33348,7800,8145,8793,11647,11086,11544,9229,9110,9066,57325,61768,60524,11445,11516,11496
300,8720,8899,9210,81206,84039,102522,42042,41745,37714,7893,8211,8935,11916,11252,11768,9322,9183,9176,69675,75560,68326,11784,11820,11901
